Nazwa miejscowości ;miasta
Łukawica;łukawica
Łukawiec;łukawiec
Łukawiec Dolny;łukawiec dolny
Łukawiec Górny;łukawiec górny
Łukawka;łukawka
Łukawska Wola;łukawska wola
Łukawy;łukawy
Łukęcin;łukęcin
Łukiany;łukiany
Łuknajno;łuknajno
Łukocin;łukocin
Łukom;łukom
Łukomie;łukomie
Łukomie-Kolonia;łukomie-kolonia
Łukomierz;łukomierz
Łukomin;łukomin
Łukomka;łukomka
Łukomszczyzna;łukomszczyzna
Łukoszyn;łukoszyn
Łukoszyno-Biki;łukoszyno-biki
Łukoszyno-Borki;łukoszyno-borki
Łukowa;łukowa
Łukowce;łukowce
Łukowe;łukowe
Łukowica;łukowica
Łukowice;łukowice
Łukowice Brzeskie;łukowice brzeskie
Łukowie;łukowie
Łukowiec;łukowiec
Łukowisko;łukowisko
Łukowo;łukowo
Łukowska;łukowska
Łuków;łuków
Łuków Śląski;łuków śląski
Łukówek;łukówek
Łukówek Górny;łukówek górny
Łukówek Górny-Kolonia;łukówek górny-kolonia
Łukówek Piękny;łukówek piękny
Łukówiec;łukówiec
Łukówka;łukówka
Łukszty;łukszty
Łukta;łukta
Łumbie;łumbie
Łumpia;łumpia
Łuniew;łuniew
Łuniewo Małe;łuniewo małe
Łuniewo Wielkie;łuniewo wielkie
Łunowo;łunowo
Łupawa;łupawa
Łupawa Przydroże;łupawa przydroże
Łupawsko;łupawsko
Łupianka Nowa;łupianka nowa
Łupianka Stara;łupianka stara
Łupice;łupice
Łupicha;łupicha
Łupichy;łupichy
Łupienice;łupienice
Łupienie;łupienie
Łupinka;łupinka
Łupiny;łupiny
Łupki;łupki
Łupnik;łupnik
Łupowo;łupowo
Łupstych;łupstych
Łusie;łusie
Łuski;łuski
Łuskowo;łuskowo
Łuszczacz;łuszczacz
Łuszczanowice;łuszczanowice
Łuszczanowice-Kolonia;łuszczanowice-kolonia
Łuszczanów;łuszczanów
Łuszczanów Drugi;łuszczanów drugi
Łuszczanów Pierwszy;łuszczanów pierwszy
Łuszczanówek;łuszczanówek
Łuszcze;łuszcze
Łuszczewo;łuszczewo
Łuszczewo-Parcele;łuszczewo-parcele
Łuszczki;łuszczki
Łuszczkowie;łuszczkowie
Łuszczów;łuszczów
Łuszczów Drugi;łuszczów drugi
Łuszczów Pierwszy;łuszczów pierwszy
Łuszczów-Kolonia;łuszczów-kolonia
Łuszczyn;łuszczyn
Łuszkowo;łuszkowo
Łuszków;łuszków
Łutowiec;łutowiec
Łutynowo;łutynowo
Łutynówko;łutynówko
Łuzki;łuzki
Łuzki-Kolonia;łuzki-kolonia
Łużany;łużany
Łuże;łuże
Łużek;łużek
Łużki;łużki
Łużna;łużna
Łużyce;łużyce
Łużyk;łużyk
Łychowska Wola;łychowska wola
Łychów;łychów
Łychów Gościeradowski;łychów gościeradowski
Łychów Szlachecki;łychów szlachecki
Łyczaków;łyczaków
Łyczana;łyczana
Łyczanka;łyczanka
Łyczba;łyczba
Łyczno;łyczno
Łyczyn;łyczyn
Łydyny;łydyny
Łyki;łyki
Łykoszyn;łykoszyn
Łykowe;łykowe
Łykowo;łykowo
Łyków;łyków
Łyna;łyna
Łyna-Kolonia;łyna-kolonia
Łyniec;łyniec
Łyniew;łyniew
Łyński Młyn;łyński młyn
Łypikówka;łypikówka
Łysa;łysa
Łysa Góra;łysa góra
Łysa Góra Druga;łysa góra druga
Łysa Góra Pierwsza;łysa góra pierwsza
Łysa Górka;łysa górka
Łysa Pałka;łysa pałka
Łysa Polana;łysa polana
Łysak;łysak
Łysakowo;łysakowo
Łysaków;łysaków
Łysaków Drugi;łysaków drugi
Łysaków Kawęczyński;łysaków kawęczyński
Łysaków pod Lasem;łysaków pod lasem
Łysakówek;łysakówek
Łysaków-Kolonia;łysaków-kolonia
Łysarzówka;łysarzówka
Łyse;łyse
Łyse Góry;łyse góry
Łysek;łysek
Łysek-Sosnówka;łysek-sosnówka
Łysiec;łysiec
Łysina;łysina
Łysinin;łysinin
Łysiny;łysiny
Łyska;łyska
Łyskawica;łyskawica
Łyski;łyski
Łyskornia;łyskornia
Łyskowa;łyskowa
Łyskowo;łyskowo
Łyskówka;łyskówka
Łysobyki;łysobyki
Łysocha;łysocha
Łysogóra;łysogóra
Łysokanie;łysokanie
Łysołaje;łysołaje
Łysołaje-Kolonia;łysołaje-kolonia
Łysomice;łysomice
Łysomice-Leśniczówka;łysomice-leśniczówka
Łysomiczki;łysomiczki
Łysonie;łysonie
Łysoniówka;łysoniówka
Łysowiec;łysowiec
Łysowody;łysowody
Łysów;łysów
Łysówka;łysówka
Łysów-Kolonia;łysów-kolonia
Łysy Młyn;łysy młyn
Łyszczarze;łyszczarze
Łyszczarzówka;łyszczarzówka
Łyszczochy;łyszczochy
Łyszkowice;łyszkowice
Łyszkowo;łyszkowo
Łyśniewo;łyśniewo
Łyśniewo Sierakowickie;łyśniewo sierakowickie
Łyżka;łyżka
Łyżki;łyżki
Łyżniaki;łyżniaki
Łyżniakowa;łyżniakowa
Łyżwy;łyżwy
Macakówka;macakówka
Macew;macew
Machaczki;machaczki
Machaje;machaje
Machajowa;machajowa
Machalanka;machalanka
Macharce;macharce
Machary;machary
Machcin;machcin
Machcinko;machcinko
Machcino;machcino
Machety;machety
Machliny;machliny
Machnacz;machnacz
Machnatka;machnatka
Machnatka-Parcela;machnatka-parcela
Machnaty;machnaty
Machnice;machnice
Machnowiec;machnowiec
Machnów Nowy;machnów nowy
Machnów Stary;machnów stary
Machnówek;machnówek
Machnówka;machnówka
Machory;machory
Machowa;machowa
Machowica;machowica
Machowiec;machowiec
Machowinko;machowinko
Machowino;machowino
Machowo;machowo
Machów;machów
Machówka;machówka
Machul;machul
Maciaszkówka;maciaszkówka
Maciaty;maciaty
Maciągowa;maciągowa
Maciągówka;maciągówka
Maciążyzna;maciążyzna
Macieczyna;macieczyna
Maciejakówka;maciejakówka
Macieje;macieje
Maciejek;maciejek
Maciejew;maciejew
Maciejewo;maciejewo
Maciejka;maciejka
Maciejki;maciejki
Maciejkowa Góra;maciejkowa góra
Maciejkowice;maciejkowice
Maciejni;maciejni
Maciejowa;maciejowa
Maciejowa Wola;maciejowa wola
Maciejowice;maciejowice
Maciejowiec;maciejowiec
Maciejowięta;maciejowięta
Maciejowizna;maciejowizna
Maciejów;maciejów
Maciejów Nowy;maciejów nowy
Maciejów Stary;maciejów stary
Maciejówka;maciejówka
Macieryż;macieryż
Macierz;macierz
Macierzysz;macierzysz
Macikowo;macikowo
Maciołki;maciołki
Maciołowa;maciołowa
Maciowakrze;maciowakrze
Maciszewice;maciszewice
Maciużnia;maciużnia
Macocha;macocha
Macoszyn;macoszyn
Macoszyn Duży;macoszyn duży
Macoszyn Mały;macoszyn mały
Macurzonka;macurzonka
Maczki;maczki
Maczków;maczków
Maczugi;maczugi
Maczugówka;maczugówka
Maczuły;maczuły
Maćki;maćki
Maćkowa Ruda;maćkowa ruda
Maćkowce;maćkowce
Maćkowice;maćkowice
Maćkowicze;maćkowicze
Maćkowy;maćkowy
Maćkówka;maćkówka
Madaje Nowe;madaje nowe
Madaje Stare;madaje stare
Madajka;madajka
Madalin;madalin
Madański Potok;madański potok
Madej;madej
Madejczyki;madejczyki
Madeje;madeje
Madejka;madejka
Madejki;madejki
Madejowa;madejowa
Madejowo;madejowo
Madejówka;madejówka
Madeły;madeły
Madera;madera
Madlówka;madlówka
Madonie;madonie
Madoniówka;madoniówka
Madoń;madoń
Madraszówka;madraszówka
Madziarowa;madziarowa
Madziarówka;madziarówka
Madziary;madziary
Maga;maga
Magazyn;magazyn
Magda;magda
Magdalena;magdalena
Magdaleniec;magdaleniec
Magdalenka;magdalenka
Magdalenki;magdalenki
Magdalenowo;magdalenowo
Magdalenów;magdalenów
Magdasz;magdasz
Magdziakówka;magdziakówka
Magdzinek;magdzinek
Magenta;magenta
Magiel;magiel
Magierowa Wola;magierowa wola
Magierów;magierów
Magierówka;magierówka
Magiery;magiery
Magierzakówka;magierzakówka
Magnice;magnice
Magnusy;magnusy
Magnusze;magnusze
Magnuszew;magnuszew
Magnuszew Duży;magnuszew duży
Magnuszew Mały;magnuszew mały
Magnuszewice;magnuszewice
Magnuszowice;magnuszowice
Magnuszowiczki;magnuszowiczki
Magonie;magonie
Magorzyca;magorzyca
Magówka;magówka
Magreta;magreta
Magura;magura
Magurka;magurka
Magury;magury
Majaczewice;majaczewice
Majasiówka;majasiówka
Majątek;majątek
Majątek-Gawłów;majątek-gawłów
Majątkowe Kolonie;majątkowe kolonie
Majcherowiec;majcherowiec
Majchrówka;majchrówka
Majchry;majchry
Majchrzakowa;majchrzakowa
Majchrzakówka;majchrzakówka
Majdaki;majdaki
Majdan;majdan
Majdan Abramowski;majdan abramowski
Majdan Bobowski;majdan bobowski
Majdan Borowski;majdan borowski
Majdan Borowski Drugi;majdan borowski drugi
Majdan Borowski Pierwszy;majdan borowski pierwszy
Majdan Borzechowski;majdan borzechowski
Majdan Brzezicki;majdan brzezicki
Majdan Dąbrówszczański;majdan dąbrówszczański
Majdan Dolny;majdan dolny
Majdan Golczański;majdan golczański
Majdan Górny;majdan górny
Majdan Górny Drugi;majdan górny drugi
Majdan Górny Pierwszy;majdan górny pierwszy
Majdan Gromadzki;majdan gromadzki
Majdan Jarociński;majdan jarociński
Majdan Kasztelański;majdan kasztelański
Majdan Kawęczyński;majdan kawęczyński
Majdan Kiełczewski;majdan kiełczewski
Majdan Kobylański;majdan kobylański
Majdan Kozic Dolnych;majdan kozic dolnych
Majdan Kozic Górnych;majdan kozic górnych
Majdan Kozłowiecki;majdan kozłowiecki
Majdan Krasieniński;majdan krasieniński
Majdan Krepkowski;majdan krepkowski
Majdan Krężnicki;majdan krężnicki
Majdan Królewski;majdan królewski
Majdan Krynicki;majdan krynicki
Majdan Krzywski;majdan krzywski
Majdan Kukawiecki;majdan kukawiecki
Majdan Leśniowski;majdan leśniowski
Majdan Lipowiecki;majdan lipowiecki
Majdan Łuczycki;majdan łuczycki
Majdan Mały;majdan mały
Majdan Mętowski;majdan mętowski
Majdan Moniacki;majdan moniacki
Majdan Nepryski;majdan nepryski
Majdan Nowy;majdan nowy
Majdan Osowski;majdan osowski
Majdan Ostrowski;majdan ostrowski
Majdan Pławanicki;majdan pławanicki
Majdan Policki;majdan policki
Majdan Radliński;majdan radliński
Majdan Ruszowski;majdan ruszowski
Majdan Sieniawski;majdan sieniawski
Majdan Siostrzytowski;majdan siostrzytowski
Majdan Sitaniecki;majdan sitaniecki
Majdan Skierbieszowski;majdan skierbieszowski
Majdan Skordiowski;majdan skordiowski
Majdan Skrzyniecki;majdan skrzyniecki
Majdan Snopkowski;majdan snopkowski
Majdan Sobieszczański;majdan sobieszczański
Majdan Sobolewski;majdan sobolewski
Majdan Sopocki Drugi;majdan sopocki drugi
Majdan Sopocki Pierwszy;majdan sopocki pierwszy
Majdan Starowiejski;majdan starowiejski
Majdan Stary;majdan stary
Majdan Stuleński;majdan stuleński
Majdan Surhowski;majdan surhowski
Majdan Suski;majdan suski
Majdan Śniatycki;majdan śniatycki
Majdan Średni;majdan średni
Majdan Tatarski;majdan tatarski
Majdan Trzebieski;majdan trzebieski
Majdan Tuczępski;majdan tuczępski
Majdan Wielki;majdan wielki
Majdan Wierzchowiński;majdan wierzchowiński
Majdan Wrotkowski;majdan wrotkowski
Majdan Zahorodyński;majdan zahorodyński
Majdan Zbydniowski;majdan zbydniowski
Majdanek;majdanek
Majdanek Chmielowski;majdanek chmielowski
Majdanek Kozicki;majdanek kozicki
Majdan-Grabina;majdan-grabina
Majdanki;majdanki
Majdan-Kolonia;majdan-kolonia
Majdan-Obleszcze;majdan-obleszcze
Majdan-Sielec;majdan-sielec
Majdany;majdany
Majdany Małe;majdany małe
Majdany Rusin;majdany rusin
Majdany Wielkie;majdany wielkie
Majdany-Kolonia;majdany-kolonia
Majdany-Leśniczówka;majdany-leśniczówka
Majdańskie;majdańskie
Majdów;majdów
Majdówka;majdówka
Majdy;majdy
Maje;maje
Majechówka;majechówka
Majer;majer
Majeranówka;majeranówka
Majerany;majerany
Majerczykówka;majerczykówka
Majerka;majerka
Majerowskie;majerowskie
Majerówka;majerówka
Majery;majery
Majerz;majerz
Majerze;majerze
Majerzowa;majerzowa
Majewo;majewo
Majewo Kościelne;majewo kościelne
Majk;majk
Majki;majki
Majki Duże;majki duże
Majki Małe;majki małe
Majki-Tykiewki;majki-tykiewki
Majkowice;majkowice
Majkowizna;majkowizna
Majków;majków
Majków Duży;majków duży
Majków Mały;majków mały
Majków Średni;majków średni
Majków-Folwark;majków-folwark
Majków-Kolonia;majków-kolonia
Majków-Osiedle;majków-osiedle
Majmławki;majmławki
Majochy;majochy
Majorat;majorat
Majorat-Zaródcze;majorat-zaródcze
Majorowizna;majorowizna
Majory;majory
Majowa;majowa
Majów;majów
Majówka;majówka
Majscowa;majscowa
Mak;mak
Makarki;makarki
Makarowo Gorańskie;makarowo gorańskie
Makarówka;makarówka
Makarszczyzna;makarszczyzna
Makocice;makocice
Makomazy;makomazy
Makosieje;makosieje
Makosiowa;makosiowa
Makoszka;makoszka
Makoszowy;makoszowy
Makoszyn;makoszyn
Makowa;makowa
Makowa Rustykalna;makowa rustykalna
Makowczyce;makowczyce
Makowica;makowica
Makowice;makowice
Makowiczki;makowiczki
Makowiec;makowiec
Makowiec-Leśniczówka;makowiec-leśniczówka
Makowiska;makowiska
Makowisko;makowisko
Makowlany;makowlany
Makowo;makowo
Makowska Polana;makowska polana
Makowski Dział;makowski dział
Makowskie;makowskie
Makowszczyzna;makowszczyzna
Maków;maków
Maków Mazowiecki;maków mazowiecki
Maków Nowy;maków nowy
Maków Podhalański;maków podhalański
Maków-Gaj;maków-gaj
Makówiec;makówiec
Makówiec Duży;makówiec duży
Makówiec Mały;makówiec mały
Makówka;makówka
Maków-Kolonia;maków-kolonia
Makówkówka;makówkówka
Makruty;makruty
Maks;maks
Maksymilianowo;maksymilianowo
Maksymilianów;maksymilianów
Maksymowszczyzna;maksymowszczyzna
Maksymów;maksymów
Makuch Niżni;makuch niżni
Makuch Wyżni;makuch wyżni
Makuchowa;makuchowa
Makuchowa Góra;makuchowa góra
Makuchówka;makuchówka
Malachin;malachin
Malakówka;malakówka
Malamówka;malamówka
Malankowo;malankowo
Malanowo;malanowo
Malanowo Nowe;malanowo nowe
Malanowo Stare;malanowo stare
Malanów;malanów
Malanówki;malanówki
Malanówko;malanówko
Malarka;malarka
Malarki;malarki
Malary;malary
Malarz;malarz
Malarze;malarze
Malarzówka;malarzówka
Malatowa;malatowa
Malawa;malawa
Malawicze Dolne;malawicze dolne
Malawicze Górne;malawicze górne
Malbork;malbork
Malcanów;malcanów
Malce;malce
Malchów;malchów
Malcowizna;malcowizna
Malców;malców
Malcówka;malcówka
Malczakówka;malczakówka
Malczew;malczew
Malczewo;malczewo
Malczkowo;malczkowo
Malczkówko;malczkówko
Malczów;malczów
Malczyce;malczyce
Malczyn;malczyn
Maldanin;maldanin
Malec;malec
Malechowo;malechowo
Malechówko;malechówko
Malechy;malechy
Maleczewo;maleczewo
Malejowa;malejowa
Malenia;malenia
Malenice;malenice
Malenie;malenie
Maleniec;maleniec
Malenin;malenin
Maleniska;maleniska
Malentyn;malentyn
Malerz;malerz
Malerzowice Małe;malerzowice małe
Malerzowice Wielkie;malerzowice wielkie
Malerzów;malerzów
Malesin;malesin
Malesowizna;malesowizna
Malesze;malesze
Maleszki;maleszki
Maleszowa;maleszowa
Maleszowa Danina;maleszowa danina
Maleszów;maleszów
Maleszyna;maleszyna
Malewice;malewice
Malewo;malewo
Malewszczyzna;malewszczyzna
Malewszów;malewszów
Malęcino;malęcino
Malęda;malęda
Malhowice;malhowice
Malhowska Góra;malhowska góra
Mali;mali
Malice;malice
Malice Kościelne;malice kościelne
Malichów;malichów
Malichy;malichy
Malicka;malicka
Malicz;malicz
Malik;malik
Maliki;maliki
Malikowa;malikowa
Malikowiec;malikowiec
Malików;malików
Malikówka;malikówka
Malin;malin
Malina;malina
Malina Druga;malina druga
Malina Pierwsza;malina pierwsza
Malinczany;malinczany
Maliniak;maliniak
Malinie;malinie
Malinie Duże;malinie duże
Malinie Małe;malinie małe
Maliniec;maliniec
Malinie-Kolonia;malinie-kolonia
Malinie-Tuczarnia;malinie-tuczarnia
Maliniki;maliniki
Malinka;malinka
Malinnik;malinnik
Malinniki;malinniki
Malinniki-Kolonia;malinniki-kolonia
Malinoskówka;malinoskówka
Malinowe Górki;malinowe górki
Malinowice;malinowice
Malinowiec;malinowiec
Malinowo;malinowo
Malinowo Nowe;malinowo nowe
Malinowo Stare;malinowo stare
Malinowszczyzna;malinowszczyzna
Malinowy Rów;malinowy rów
Malinów;malinów
Malinówka;malinówka
Malinówka Mała;malinówka mała
Malinówka Wielka;malinówka wielka
Malinówka-Gajówka;malinówka-gajówka
Maliny;maliny
Maliszew;maliszew
Maliszewko;maliszewko
Maliszewo;maliszewo
Maliszewo-Łynki;maliszewo-łynki
Maliszewo-Perkusy;maliszewo-perkusy
Maliszów;maliszów
Malitony;malitony
Malkowice;malkowice
Malkowice Dolne;malkowice dolne
Malkowice Górne;malkowice górne
Malków;malków
Malmurzyn;malmurzyn
Malnia;malnia
Malon;malon
Malonowo;malonowo
Malony;malony
Malowa Góra;malowa góra
Malowane;malowane
Malowany Dworek;malowany dworek
Malówka;malówka
Malskówka;malskówka
Malta;malta
Maltówka;maltówka
Maluszyce;maluszyce
Maluszyn;maluszyn
Malutkie;malutkie
Malużyn;malużyn
Malwinowo;malwinowo
Malwinów;malwinów
Malżyce;malżyce
Malżyn;malżyn
Mała;mała
Mała Baczyna;mała baczyna
Mała Bertynówka;mała bertynówka
Mała Bobra;mała bobra
Mała Cerkwica;mała cerkwica
Mała Chlebówka;mała chlebówka
Mała Debrza;mała debrza
Mała Gilwa;mała gilwa
Mała Główka;mała główka
Mała Gmina;mała gmina
Mała Góra;mała góra
Mała Górka;mała górka
Mała Graniczna;mała graniczna
Mała Grobla;mała grobla
Mała Gromada;mała gromada
Mała Grzybowa Góra;mała grzybowa góra
Mała Grzywna;mała grzywna
Mała Huta;mała huta
Mała Jasienówka;mała jasienówka
Mała Jasionka;mała jasionka
Mała Kamienica;mała kamienica
Mała Karczma;mała karczma
Mała Kępa;mała kępa
Mała Klonia;mała klonia
Mała Kłoda;mała kłoda
Mała Kolonia;mała kolonia
Mała Komorza;mała komorza
Mała Krasna;mała krasna
Mała Krzyżanówka;mała krzyżanówka
Mała Lipka;mała lipka
Mała Lipna;mała lipna
Mała Lutomia;mała lutomia
Mała Morawica;mała morawica
Mała Nawra;mała nawra
Mała Nieszawka;mała nieszawka
Mała Olszewnica;mała olszewnica
Mała Osada;mała osada
Mała Osówka;mała osówka
Mała Piaśnica;mała piaśnica
Mała Połać;mała połać
Mała Przerośl;mała przerośl
Mała Przyjma;mała przyjma
Mała Puszcza;mała puszcza
Mała Rosochatka;mała rosochatka
Mała Rudzica;mała rudzica
Mała Sanoka;mała sanoka
Mała Skotnica;mała skotnica
Mała Słońca;mała słońca
Mała Strona;mała strona
Mała Stronka;mała stronka
Mała Sucha;mała sucha
Mała Tarnówka;mała tarnówka
Mała Tonia;mała tonia
Mała Turza;mała turza
Mała Uliczka;mała uliczka
Mała Widełka;mała widełka
Mała Wielowieś;mała wielowieś
Mała Wieś;mała wieś
Mała Wieś Dolna;mała wieś dolna
Mała Wieś Górna;mała wieś górna
Mała Wieś przy Drodze;mała wieś przy drodze
Mała Wieś-Cukrownia;mała wieś-cukrownia
Mała Wioska;mała wioska
Mała Wola;mała wola
Mała Wolica;mała wolica
Mała Wólka;mała wólka
Mała Wysoka;mała wysoka
Mała Zelgoszcz;mała zelgoszcz
Mała Żabnica;mała żabnica
Małacentów;małacentów
Małachowice;małachowice
Małachowice-Kolonia;małachowice-kolonia
Małachowo;małachowo
Małachowo Dolne;małachowo dolne
Małachowo Górne;małachowo górne
Małachowo-Kępe;małachowo-kępe
Małachowo-Szemborowice;małachowo-szemborowice
Małachowo-Wierzbiczany;małachowo-wierzbiczany
Małachowo-Złych Miejsc;małachowo-złych miejsc
Małachowszczyzna;małachowszczyzna
Małachów;małachów
Małachów Fabryczny;małachów fabryczny
Małachów-Dęba;małachów-dęba
Małachówka;małachówka
Małachów-Kolonia;małachów-kolonia
Małastów;małastów
Małaszek;małaszek
Małaszewicze;małaszewicze
Małaszewicze Duże;małaszewicze duże
Małaszewicze Małe;małaszewicze małe
Małaszowice;małaszowice
Małączka;małączka
Małcz;małcz
Małczew;małczew
Małdaniec;małdaniec
Małdyty;małdyty
Małe;małe
Małe Bajdy;małe bajdy
Małe Bałówki;małe bałówki
Małe Bedlenki;małe bedlenki
Małe Błądzikowo;małe błądzikowo
Małe Błonie;małe błonie
Małe Błota;małe błota
Małe Boże;małe boże
Małe Brzezie;małe brzezie
Małe Budy;małe budy
Małe Budziska;małe budziska
Małe Chełmy;małe chełmy
Małe Chełmy-Wybudowanie;małe chełmy-wybudowanie
Małe Ciche;małe ciche
Małe Czyste;małe czyste
Małe Dobre;małe dobre
Małe Domacyny;małe domacyny
Małe Drzewce;małe drzewce
Małe Działki;małe działki
Małe Fajewo;małe fajewo
Małe Gacno;małe gacno
Małe Gliśno;małe gliśno
Małe Górki;małe górki
Małe Góry;małe góry
Małe Gronowo;małe gronowo
Małe Huby;małe huby
Małe Izbiska;małe izbiska
Małe Jamy;małe jamy
Małe Jarki;małe jarki
Małe Jodło;małe jodło
Małe Kokocko;małe kokocko
Małe Kołaczkowice;małe kołaczkowice
Małe Konstantowo;małe konstantowo
Małe Końskie;małe końskie
Małe Kowalskie Błota;małe kowalskie błota
Małe Kozy;małe kozy
Małe Krówno;małe krówno
Małe Książki;małe książki
Małe Kujawki;małe kujawki
Małe Leźno;małe leźno
Małe Liniewo;małe liniewo
Małe Lipie;małe lipie
Małe Lniska;małe lniska
Małe Łabno;małe łabno
Małe Łagiewniki;małe łagiewniki
Małe Łazy;małe łazy
Małe Łąki;małe łąki
Małe Łąkie;małe łąkie
Małe Łunawy;małe łunawy
Małe Nagórzyce;małe nagórzyce
Małe Narożniki;małe narożniki
Małe Olecko;małe olecko
Małe Osady;małe osady
Małe Osiedle;małe osiedle
Małe Pacołtowo;małe pacołtowo
Małe Pastwisko;małe pastwisko
Małe Piaski;małe piaski
Małe Pluty;małe pluty
Małe Pole;małe pole
Małe Przanowice;małe przanowice
Małe Pułkowo;małe pułkowo
Małe Raczki;małe raczki
Małe Radowiska;małe radowiska
Małe Rajsko;małe rajsko
Małe Rokitki;małe rokitki
Małe Rudno;małe rudno
Małe Rudy;małe rudy
Małe Smolniki;małe smolniki
Małe Stawiska;małe stawiska
Małe Stoki;małe stoki
Małe Subkowy;małe subkowy
Małe Swornegacie;małe swornegacie
Małe Świątniki;małe świątniki
Małe Tuligłowy;małe tuligłowy
Małe Turze;małe turze
Małe Tuszynki;małe tuszynki
Małe Ulmany;małe ulmany
Małe Walichnowy;małe walichnowy
Małe Wędoły;małe wędoły
Małe Węgorzynko;małe węgorzynko
Małe Wieszczyce;małe wieszczyce
Małe Wiosło;małe wiosło
Małe Wycinki;małe wycinki
Małe Wyręby;małe wyręby
Małe Zagórze;małe zagórze
Małe Zajączkowo;małe zajączkowo
Małe Zalesiany;małe zalesiany
Małe Zanie;małe zanie
Małe Zawisłocze;małe zawisłocze
Małe Zdunowice;małe zdunowice
Małe Żarowo;małe żarowo
Małec;małec
Małecz;małecz
Małejurki;małejurki
Małęcka Droga;małęcka droga
Małęczyn;małęczyn
Małgorzacin;małgorzacin
Małgorzatka;małgorzatka
Małgorzatowo;małgorzatowo
Małgorzatów;małgorzatów
Małgosin;małgosin
Małgów;małgów
Małgów-Kolonia;małgów-kolonia
Małki;małki
Małkinia Dolna;małkinia dolna
Małkinia Górna;małkinia górna
Małkinia Mała-Przewóz;małkinia mała-przewóz
Małkinie;małkinie
Małkocin;małkocin
Małkowice;małkowice
Małkowo;małkowo
Małków;małków
Małków Cielecki;małków cielecki
Małków Nowy;małków nowy
Małków-Kolonia;małków-kolonia
Małkuchowa;małkuchowa
Małobądz;małobądz
Małobór;małobór
Małochwiej Duży;małochwiej duży
Małochwiej Mały;małochwiej mały
Małocice;małocice
Małociechowo;małociechowo
Małocin;małocin
Małodobra;małodobra
Małogoskie;małogoskie
Małogoszcz;małogoszcz
Małogórne;małogórne
Małolepsza;małolepsza
Małolesie;małolesie
Małomice;małomice
Małomierz;małomierz
Małomierzyce;małomierzyce
Małomin;małomin
Małoniż;małoniż
Małopole;małopole
Małorolne;małorolne
Małoryta;małoryta
Małoszewo;małoszewo
Małoszki;małoszki
Małoszów;małoszów
Małoszyce;małoszyce
Małoszyce Środkowe;małoszyce środkowe
Małoszyna;małoszyna
Małoszywka;małoszywka
Małowice;małowice
Małowidz;małowidz
Małowista;małowista
Małowy;małowy
Małoziemce;małoziemce
Małówka;małówka
Małszewko;małszewko
Małszewo;małszewo
Małszyce;małszyce
Małujowice;małujowice
Małusy Małe;małusy małe
Małusy Wielkie;małusy wielkie
Małuszów;małuszów
Małuszyn;małuszyn
Małutówka Dolna;małutówka dolna
Małutówka Górna;małutówka górna
Mały Baldram;mały baldram
Mały Bieniec;mały bieniec
Mały Borek;mały borek
Mały Bór;mały bór
Mały Buczek;mały buczek
Mały Bukowiec;mały bukowiec
Mały Cisiec;mały cisiec
Mały Czaniec;mały czaniec
Mały Dołek;mały dołek
Mały Donimierz;mały donimierz
Mały Dólsk;mały dólsk
Mały Dół;mały dół
Mały Dworek;mały dworek
Mały Dwór;mały dwór
Mały Dział;mały dział
Mały Gaj;mały gaj
Mały Garc;mały garc
Mały Gąsiorów;mały gąsiorów
Mały Głęboczek;mały głęboczek
Mały Gorzędziej;mały gorzędziej
Mały Iwiec;mały iwiec
Mały Jabłuszek;mały jabłuszek
Mały Jasień;mały jasień
Mały Jeleniów;mały jeleniów
Mały Kack;mały kack
Mały Kadłubek;mały kadłubek
Mały Kaletnik;mały kaletnik
Mały Kasiłan;mały kasiłan
Mały Kawczyn;mały kawczyn
Mały Klincz;mały klincz
Mały Komorsk;mały komorsk
Mały Koniec;mały koniec
Mały Landek;mały landek
Mały Las;mały las
Mały Lubień;mały lubień
Mały Łęck;mały łęck
Mały Mędromierz;mały mędromierz
Mały Miłobądz;mały miłobądz
Mały Młodochów;mały młodochów
Mały Orzeszków;mały orzeszków
Mały Płock;mały płock
Mały Podlas;mały podlas
Mały Podleś;mały podleś
Mały Pojaw;mały pojaw
Mały Potok;mały potok
Mały Puc;mały puc
Mały Rozkochów;mały rozkochów
Mały Rudnik;mały rudnik
Mały Sadek;mały sadek
Mały Skroniów;mały skroniów
Mały Smereków;mały smereków
Mały Stanisławów;mały stanisławów
Mały Ubieszyn;mały ubieszyn
Mały Uderz;mały uderz
Mały Węgrzyn;mały węgrzyn
Małynka;małynka
Małyń;małyń
Małysiaki;małysiaki
Małysówka;małysówka
Małysy;małysy
Małyszczyn;małyszczyn
Małysze;małysze
Małyszówka;małyszówka
Małyszówka-Kolonia;małyszówka-kolonia
Małyszyce;małyszyce
Małyszyn;małyszyn
Małyszyn Dolny;małyszyn dolny
Małyszyn Górny;małyszyn górny
Małyszyn Mały;małyszyn mały
Małyszyn Wielki;małyszyn wielki
Małyszynek;małyszynek
Małżewko;małżewko
Małżewo;małżewo
Mamarta;mamarta
Mamczarzów;mamczarzów
Mamerki;mamerki
Mamień;mamień
Mamino;mamino
Mamlicz;mamlicz
Mamlochy;mamlochy
Mamoty;mamoty
Mamzerówka;mamzerówka
Manasterz;manasterz
Manasterzec;manasterzec
Mandzin;mandzin
Mania;mania
Manie;manie
Manieczki;manieczki
Maniewo;maniewo
Maniowo;maniowo
Maniowy;maniowy
Maniów;maniów
